DATASET,CELL_LINE_NAME,TCGA_DESC,CelllineName,DRUG_NAME,DrugBankID,LN_IC50,IC50
GDSC1,BB49-HNC,HNSC,HNSC_BB49-HNC,Rapamycin,DB00877,-0.838874,0.4322
GDSC1,CP66-MEL,SKCM,SKCM_CP66-MEL,Rapamycin,DB00877,0.234683,1.26451
GDSC1,DSH1,BLCA,BLCA_DSH1,Rapamycin,DB00877,-2.06458,0.12687
GDSC1,EC-GI-10,ESCA,ESCA_EC-GI-10,Rapamycin,DB00877,0.777012,2.17496
GDSC1,HCE-4,ESCA,ESCA_HCE-4,Rapamycin,DB00877,-2.206478,0.11009
GDSC1,LB2241-RCC,KIRC,KIRC_LB2241-RCC,Rapamycin,DB00877,-0.195161,0.8227
GDSC1,LB2518-MEL,SKCM,SKCM_LB2518-MEL,Rapamycin,DB00877,0.345844,1.41318
GDSC1,LB373-MEL-D,SKCM,SKCM_LB373-MEL-D,Rapamycin,DB00877,-0.953396,0.38543
GDSC1,LB771-HNC,HNSC,HNSC_LB771-HNC,Rapamycin,DB00877,-1.489733,0.22543
GDSC1,LB831-BLC,BLCA,BLCA_LB831-BLC,Rapamycin,DB00877,0.245486,1.27824
GDSC1,LXF-289,LUAD,LUAD_LXF-289,Rapamycin,DB00877,-1.94351,0.1432
GDSC1,MZ1-PC,PAAD,PAAD_MZ1-PC,Rapamycin,DB00877,-1.068302,0.34359
GDSC1,MZ7-mel,SKCM,SKCM_MZ7-mel,Rapamycin,DB00877,-1.718133,0.1794
GDSC1,TE-15,ESCA,ESCA_TE-15,Rapamycin,DB00877,-6.225179,0.00198
GDSC1,TE-1,ESCA,ESCA_TE-1,Rapamycin,DB00877,-2.40981,0.08983
GDSC1,NCI-H226,LUSC,LUSC_NCI-H226,Rapamycin,DB00877,0.000889,1.00089
GDSC1,NCI-H23,LUAD,LUAD_NCI-H23,Rapamycin,DB00877,0.085666,1.08944
GDSC1,A498,KIRC,KIRC_A498,Rapamycin,DB00877,1.521701,4.58001
GDSC1,SK-MEL-2,SKCM,SKCM_SK-MEL-2,Rapamycin,DB00877,-1.113085,0.32854
GDSC1,NCI-H322M,LUAD,LUAD_NCI-H322M,Rapamycin,DB00877,-1.477016,0.22832
GDSC1,EKVX,LUAD,LUAD_EKVX,Rapamycin,DB00877,-2.797854,0.06094
GDSC1,LOXIMVI,SKCM,SKCM_LOXIMVI,Rapamycin,DB00877,-0.638713,0.52797
GDSC1,UACC-257,SKCM,SKCM_UACC-257,Rapamycin,DB00877,0.006703,1.00673
GDSC1,TK10,KIRC,KIRC_TK10,Rapamycin,DB00877,-2.309397,0.09932
GDSC1,SF268,GBM,GBM_SF268,Rapamycin,DB00877,-1.874377,0.15345
GDSC1,Becker,GBM,GBM_Becker,Rapamycin,DB00877,-4.017938,0.01799
GDSC1,COLO-824,BRCA,BRCA_COLO-824,Rapamycin,DB00877,-1.405157,0.24533
GDSC1,COLO-800,SKCM,SKCM_COLO-800,Rapamycin,DB00877,-2.41829,0.08907
GDSC1,EVSA-T,BRCA,BRCA_EVSA-T,Rapamycin,DB00877,-2.814853,0.05991
GDSC1,GCIY,STAD,STAD_GCIY,Rapamycin,DB00877,-3.573833,0.02805
GDSC1,KS-1,GBM,GBM_KS-1,Rapamycin,DB00877,-7.139221,0.00079
GDSC1,LC-2-ad,LUAD,LUAD_LC-2-ad,Rapamycin,DB00877,-7.386924,0.00062
GDSC1,LNCaP-Clone-FGC,PRAD,PRAD_LNCaP-Clone-FGC,Rapamycin,DB00877,-2.007668,0.1343
GDSC1,SNU-1,STAD,STAD_SNU-1,Rapamycin,DB00877,-1.694567,0.18368
GDSC1,SNU-5,STAD,STAD_SNU-5,Rapamycin,DB00877,-0.416843,0.65912
GDSC1,SNU-16,STAD,STAD_SNU-16,Rapamycin,DB00877,-0.461422,0.63039
GDSC1,NCI-N87,STAD,STAD_NCI-N87,Rapamycin,DB00877,-3.175339,0.04178
GDSC1,NCI-H1666,LUAD,LUAD_NCI-H1666,Rapamycin,DB00877,0.212177,1.23637
GDSC1,OCUB-M,BRCA,BRCA_OCUB-M,Rapamycin,DB00877,-8.727691,0.00016
GDSC1,RF-48,STAD,STAD_RF-48,Rapamycin,DB00877,-3.445054,0.0319
GDSC1,SH-4,SKCM,SKCM_SH-4,Rapamycin,DB00877,-5.782184,0.00308
GDSC1,SK-MEL-1,SKCM,SKCM_SK-MEL-1,Rapamycin,DB00877,-0.383992,0.68114
GDSC1,CGTH-W-1,THCA,THCA_CGTH-W-1,Rapamycin,DB00877,-1.611323,0.19962
GDSC1,COLO-684,UCEC,UCEC_COLO-684,Rapamycin,DB00877,-3.339911,0.03544
GDSC1,UACC-812,BRCA,BRCA_UACC-812,Rapamycin,DB00877,-2.052981,0.12835
GDSC1,SCC-15,HNSC,HNSC_SCC-15,Rapamycin,DB00877,0.68245,1.97872
GDSC1,A704,KIRC,KIRC_A704,Rapamycin,DB00877,-1.858742,0.15587
GDSC1,A101D,SKCM,SKCM_A101D,Rapamycin,DB00877,-5.724414,0.00327
GDSC1,GAK,SKCM,SKCM_GAK,Rapamycin,DB00877,-2.244402,0.10599
GDSC1,AM-38,GBM,GBM_AM-38,Rapamycin,DB00877,-1.551253,0.21198
GDSC1,CAS-1,GBM,GBM_CAS-1,Rapamycin,DB00877,-0.36617,0.69338
GDSC1,MFM-223,BRCA,BRCA_MFM-223,Rapamycin,DB00877,0.994609,2.70367
GDSC1,CAL-148,BRCA,BRCA_CAL-148,Rapamycin,DB00877,-1.541919,0.21397
GDSC1,KLE,UCEC,UCEC_KLE,Rapamycin,DB00877,-2.699028,0.06727
GDSC1,K5,THCA,THCA_K5,Rapamycin,DB00877,-3.335138,0.03561
GDSC1,NCI-H1975,LUAD,LUAD_NCI-H1975,Rapamycin,DB00877,-2.974639,0.05107
GDSC1,MMAc-SF,SKCM,SKCM_MMAc-SF,Rapamycin,DB00877,-1.920229,0.14657
GDSC1,TE-9,ESCA,ESCA_TE-9,Rapamycin,DB00877,-0.13009,0.87802
GDSC1,TE-11,ESCA,ESCA_TE-11,Rapamycin,DB00877,-3.578223,0.02793
GDSC1,TE-6,ESCA,ESCA_TE-6,Rapamycin,DB00877,-5.754364,0.00317
GDSC1,TE-12,ESCA,ESCA_TE-12,Rapamycin,DB00877,-3.268236,0.03807
GDSC1,BT-474,BRCA,BRCA_BT-474,Rapamycin,DB00877,-1.466897,0.23064
GDSC1,D-247MG,GBM,GBM_D-247MG,Rapamycin,DB00877,0.777238,2.17546
GDSC1,D-263MG,GBM,GBM_D-263MG,Rapamycin,DB00877,-0.168359,0.84505
GDSC1,OMC-1,CESC,CESC_OMC-1,Rapamycin,DB00877,-1.550754,0.21209
GDSC1,MZ2-MEL,SKCM,SKCM_MZ2-MEL,Rapamycin,DB00877,-2.621337,0.07271
GDSC1,NCI-H1869,LUSC,LUSC_NCI-H1869,Rapamycin,DB00877,-2.160247,0.1153
GDSC1,VCaP,PRAD,PRAD_VCaP,Rapamycin,DB00877,-1.162903,0.31258
GDSC1,HCC1500,BRCA,BRCA_HCC1500,Rapamycin,DB00877,-1.244518,0.28808
GDSC1,HSC-39,STAD,STAD_HSC-39,Rapamycin,DB00877,-0.314171,0.73039
GDSC1,COLO-829,SKCM,SKCM_COLO-829,Sunitinib,DB01268,5.417977,225.42263
GDSC1,8-MG-BA,GBM,GBM_8-MG-BA,Sunitinib,DB01268,1.922664,6.83915
GDSC1,GB-1,GBM,GBM_GB-1,Sunitinib,DB01268,0.191623,1.21121
GDSC1,U-87-MG,GBM,GBM_U-87-MG,Sunitinib,DB01268,5.090437,162.46084
GDSC1,NCI-H1648,LUAD,LUAD_NCI-H1648,Sunitinib,DB01268,2.446452,11.5473
GDSC1,NCI-H1650,LUAD,LUAD_NCI-H1650,Sunitinib,DB01268,3.816143,45.42865
GDSC1,NCI-H1838,LUAD,LUAD_NCI-H1838,Sunitinib,DB01268,5.094163,163.0673
GDSC1,Calu-6,LUAD,LUAD_Calu-6,Sunitinib,DB01268,4.518665,91.71308
GDSC1,NCI-H1355,LUAD,LUAD_NCI-H1355,Sunitinib,DB01268,2.140032,8.49971
GDSC1,TE-5,ESCA,ESCA_TE-5,Sunitinib,DB01268,3.952149,52.0471
GDSC1,HCC1187,BRCA,BRCA_HCC1187,Sunitinib,DB01268,2.632985,13.91524
GDSC1,HCC1599,BRCA,BRCA_HCC1599,Sunitinib,DB01268,2.157632,8.65063
GDSC1,HCC2157,BRCA,BRCA_HCC2157,Sunitinib,DB01268,3.779754,43.80526
GDSC1,HCC2218,BRCA,BRCA_HCC2218,Sunitinib,DB01268,5.382506,217.56682
GDSC1,BB30-HNC,HNSC,HNSC_BB30-HNC,Sunitinib,DB01268,0.925365,2.52279
GDSC1,BB49-HNC,HNSC,HNSC_BB49-HNC,Sunitinib,DB01268,1.256862,3.51438
GDSC1,BB65-RCC,KIRC,KIRC_BB65-RCC,Sunitinib,DB01268,1.943458,6.98286
GDSC1,CP66-MEL,SKCM,SKCM_CP66-MEL,Sunitinib,DB01268,4.950323,141.22057
GDSC1,DSH1,BLCA,BLCA_DSH1,Sunitinib,DB01268,4.501585,90.15992
GDSC1,EC-GI-10,ESCA,ESCA_EC-GI-10,Sunitinib,DB01268,4.576113,97.13609
GDSC1,HA7-RCC,KIRC,KIRC_HA7-RCC,Sunitinib,DB01268,1.649944,5.20669
GDSC1,HCE-4,ESCA,ESCA_HCE-4,Sunitinib,DB01268,1.50077,4.48514
GDSC1,LB1047-RCC,KIRC,KIRC_LB1047-RCC,Sunitinib,DB01268,0.338183,1.4024
GDSC1,LB2241-RCC,KIRC,KIRC_LB2241-RCC,Sunitinib,DB01268,3.004478,20.17568
GDSC1,LB2518-MEL,SKCM,SKCM_LB2518-MEL,Sunitinib,DB01268,4.593296,98.8196
GDSC1,LB373-MEL-D,SKCM,SKCM_LB373-MEL-D,Sunitinib,DB01268,4.64788,104.3635
GDSC1,LB771-HNC,HNSC,HNSC_LB771-HNC,Sunitinib,DB01268,4.446912,85.36294
GDSC1,LB831-BLC,BLCA,BLCA_LB831-BLC,Sunitinib,DB01268,1.843517,6.31872
GDSC1,LB996-RCC,KIRC,KIRC_LB996-RCC,Sunitinib,DB01268,1.18595,3.2738
GDSC1,LXF-289,LUAD,LUAD_LXF-289,Sunitinib,DB01268,1.144739,3.14162
GDSC1,MZ1-PC,PAAD,PAAD_MZ1-PC,Sunitinib,DB01268,1.37696,3.96284
GDSC1,MZ7-mel,SKCM,SKCM_MZ7-mel,Sunitinib,DB01268,2.097166,8.14306
GDSC1,TE-15,ESCA,ESCA_TE-15,Sunitinib,DB01268,-0.538143,0.58383
GDSC1,TE-1,ESCA,ESCA_TE-1,Sunitinib,DB01268,2.493715,12.10617
GDSC1,TE-10,ESCA,ESCA_TE-10,Sunitinib,DB01268,0.828229,2.28926
GDSC1,TE-8,ESCA,ESCA_TE-8,Sunitinib,DB01268,0.946338,2.57626
GDSC1,NCI-H226,LUSC,LUSC_NCI-H226,Sunitinib,DB01268,4.017014,55.53503
GDSC1,NCI-H23,LUAD,LUAD_NCI-H23,Sunitinib,DB01268,3.039496,20.89471
GDSC1,A498,KIRC,KIRC_A498,Sunitinib,DB01268,5.916704,371.18627
GDSC1,SK-MEL-2,SKCM,SKCM_SK-MEL-2,Sunitinib,DB01268,4.013588,55.34509
GDSC1,NCI-H322M,LUAD,LUAD_NCI-H322M,Sunitinib,DB01268,4.11193,61.06446
GDSC1,EKVX,LUAD,LUAD_EKVX,Sunitinib,DB01268,6.333141,562.92196
GDSC1,HOP-62,LUAD,LUAD_HOP-62,Sunitinib,DB01268,1.500383,4.48341
GDSC1,LOXIMVI,SKCM,SKCM_LOXIMVI,Sunitinib,DB01268,2.266993,9.65034
GDSC1,UACC-257,SKCM,SKCM_UACC-257,Sunitinib,DB01268,2.040995,7.69827
GDSC1,RXF393,KIRC,KIRC_RXF393,Sunitinib,DB01268,1.808428,6.10085
GDSC1,TK10,KIRC,KIRC_TK10,Sunitinib,DB01268,2.034539,7.64873
GDSC1,SNB75,GBM,GBM_SNB75,Sunitinib,DB01268,3.434516,31.0164
GDSC1,SF268,GBM,GBM_SF268,Sunitinib,DB01268,1.318425,3.73753
GDSC1,Becker,GBM,GBM_Becker,Sunitinib,DB01268,4.835781,125.9369
GDSC1,COLO-824,BRCA,BRCA_COLO-824,Sunitinib,DB01268,3.687883,39.96016
GDSC1,COLO-800,SKCM,SKCM_COLO-800,Sunitinib,DB01268,4.407179,82.03771
GDSC1,DU-4475,BRCA,BRCA_DU-4475,Sunitinib,DB01268,1.474397,4.3684
GDSC1,EVSA-T,BRCA,BRCA_EVSA-T,Sunitinib,DB01268,1.93624,6.93264
GDSC1,GCIY,STAD,STAD_GCIY,Sunitinib,DB01268,4.641319,103.68101
GDSC1,HT-144,SKCM,SKCM_HT-144,Sunitinib,DB01268,1.791762,6.00002
GDSC1,IST-MEL1,SKCM,SKCM_IST-MEL1,Sunitinib,DB01268,1.50567,4.50717
GDSC1,KS-1,GBM,GBM_KS-1,Sunitinib,DB01268,0.616379,1.85221
GDSC1,LC-2-ad,LUAD,LUAD_LC-2-ad,Sunitinib,DB01268,0.025641,1.02597
GDSC1,LNCaP-Clone-FGC,PRAD,PRAD_LNCaP-Clone-FGC,Sunitinib,DB01268,4.243223,69.63191
GDSC1,MRK-nu-1,BRCA,BRCA_MRK-nu-1,Sunitinib,DB01268,3.297438,27.04327
GDSC1,SNU-1,STAD,STAD_SNU-1,Sunitinib,DB01268,1.871377,6.49724
GDSC1,SNU-5,STAD,STAD_SNU-5,Sunitinib,DB01268,5.175654,176.91228
GDSC1,SNU-16,STAD,STAD_SNU-16,Sunitinib,DB01268,1.011474,2.74965
GDSC1,NCI-H1666,LUAD,LUAD_NCI-H1666,Sunitinib,DB01268,4.903665,134.78285
GDSC1,OS-RC-2,KIRC,KIRC_OS-RC-2,Sunitinib,DB01268,1.706884,5.51176
GDSC1,OCUB-M,BRCA,BRCA_OCUB-M,Sunitinib,DB01268,1.961023,7.10659
GDSC1,RF-48,STAD,STAD_RF-48,Sunitinib,DB01268,3.380728,29.39216
GDSC1,SF126,GBM,GBM_SF126,Sunitinib,DB01268,0.974794,2.65062
GDSC1,SH-4,SKCM,SKCM_SH-4,Sunitinib,DB01268,1.448366,4.25615
GDSC1,SK-MEL-1,SKCM,SKCM_SK-MEL-1,Sunitinib,DB01268,3.110067,22.42255
GDSC1,RCC10RGB,KIRC,KIRC_RCC10RGB,Sunitinib,DB01268,5.649091,284.03316
GDSC1,PSN1,PAAD,PAAD_PSN1,Sunitinib,DB01268,0.542998,1.72116
GDSC1,CGTH-W-1,THCA,THCA_CGTH-W-1,Sunitinib,DB01268,-2.638077,0.0715
GDSC1,COLO-684,UCEC,UCEC_COLO-684,Sunitinib,DB01268,3.965335,52.73793
GDSC1,SCC-15,HNSC,HNSC_SCC-15,Sunitinib,DB01268,2.479954,11.94072
GDSC1,A704,KIRC,KIRC_A704,Sunitinib,DB01268,2.457569,11.67639
GDSC1,A101D,SKCM,SKCM_A101D,Sunitinib,DB01268,1.21013,3.35392
GDSC1,GAK,SKCM,SKCM_GAK,Sunitinib,DB01268,2.12709,8.39042
GDSC1,AM-38,GBM,GBM_AM-38,Sunitinib,DB01268,4.399089,81.3767
GDSC1,CAS-1,GBM,GBM_CAS-1,Sunitinib,DB01268,4.724603,112.68575
GDSC1,MFM-223,BRCA,BRCA_MFM-223,Sunitinib,DB01268,5.342721,209.08085
GDSC1,CAL-148,BRCA,BRCA_CAL-148,Sunitinib,DB01268,4.351611,77.60338
GDSC1,KLE,UCEC,UCEC_KLE,Sunitinib,DB01268,3.466737,32.03205
GDSC1,K5,THCA,THCA_K5,Sunitinib,DB01268,2.136137,8.46667
GDSC1,NCI-H1975,LUAD,LUAD_NCI-H1975,Sunitinib,DB01268,1.705604,5.50471
GDSC1,MMAc-SF,SKCM,SKCM_MMAc-SF,Sunitinib,DB01268,1.981404,7.25292
GDSC1,TE-9,ESCA,ESCA_TE-9,Sunitinib,DB01268,3.213899,24.87589
GDSC1,TE-11,ESCA,ESCA_TE-11,Sunitinib,DB01268,0.576077,1.77905
GDSC1,TE-6,ESCA,ESCA_TE-6,Sunitinib,DB01268,3.874114,48.14003
GDSC1,TE-12,ESCA,ESCA_TE-12,Sunitinib,DB01268,-0.139197,0.87006
GDSC1,BT-474,BRCA,BRCA_BT-474,Sunitinib,DB01268,4.7917,120.50605
GDSC1,D-247MG,GBM,GBM_D-247MG,Sunitinib,DB01268,3.448572,31.45544
GDSC1,D-263MG,GBM,GBM_D-263MG,Sunitinib,DB01268,4.191313,66.10954
